"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 ","2020-21 "
"","","","5149991 - Unallocated resources - primary ",".",".",".",".",".","."
"","","Gwynedd - Middle ","",0,0,367.593333,607.44,858.4,1076.64
"","","Gwynedd - Middle ","5149996 - Unallocated resources - middle ",".",".",".",".",".","."
"","","","5145500 - Ysgol Bro Idris ",".",".",367.593333,607.44,567.32,561.4
"","","","5145501 - Ysgol Godre'r Berwyn ",".",".",".",".",291.08,515.24
"","","Gwynedd - Secondary ","",7030,6876,6593.416667,6579,6567.25,6571
"","","Gwynedd - Secondary ","5144002 - Ysgol Dyffryn Ogwen ",374,389,405,438,466,464
"","","","5144003 - Ysgol Botwnnog ",380,381,387,390,405,446
"","","","5144004 - Ysgol Brynrefail ",742,724,685,694,723,746
"","","","5144007 - Ysgol Dyffryn Nantlle ",489,456,420,434,417,419
"","","","5144009 - Ysgol Eifionydd ",369,369,363,366,380,386
"","","","5144030 - Ysgol Y Gader ",383,346,130.416667,".",".","."
"","","","5144031 - Ysgol Y Moelwyn ",322,310,319,313,332,321
"","","","5144032 - Ysgol Uwchradd Tywyn ",244,261,271,276,302,316
"","","","5144033 - Ysgol Y Berwyn ",317,308,316,323,141.25,"."
"","","","5144034 - Ysgol Ardudwy ",274,279,277,290,319,322
"","","","5144036 - Ysgol Friars ",1253,1226,1213,1273,1288,1367
"","","","5144037 - Ysgol Tryfan ",518,484,465,436,428,430
"","","","5144039 - Ysgol Syr Hugh Owen ",867,857,862,861,875,864
"","","","5144040 - Ysgol Glan Y Mor ",498,486,480,485,491,490
"","","","5149992 - Unallocated resources - secondary ",".",".",".",".",".","."
"","","Gwynedd - Special ","",136.61,160.761667,190.3,214.8,217.8,217.8
"","","Gwynedd - Special ","5147000 - Ysgol Coedmenai ",".",".",".",".",".","."
"","","","5147002 - Ysgol Pendalar ",90.61,100.26,110.3,113.8,116.8,116.8
"","","","5147010 - Ysgol Hafod Lon ",46,60.501667,80,101,101,101
"","","","5149993 - Unallocated resources - special ",".",".",".",".",".","."
"","Conwy ","","",15449.5,15463.5,15405,15345.5,15387,15398
"","Conwy ","Conwy - Nursery ","5169994 - Unallocated resources - nursery ",".",".",".",".",".","."
"","","Conwy - Primary ","",8361.5,8492.5,8518,8485.5,8558,8531
"","","Conwy - Primary ","5162002 - Ysgol Dolgarrog ",54.5,60,66,68,29.583333,"."
"","","","5162012 - Ysgol Betws-y-Coed ",23,27.5,31.5,27.5,26.5,25.5
"","","","5162023 - Ysgol Capelulo ",126.5,133,135,134,142.5,149.5
"","","","5162038 - Ysgol Deganwy ",305.5,312,306.5,307.5,295,305
"","","","5162043 - Ysgol Gynradd Dolwyddelan ",27,20.5,19,18.5,21.5,24
"","","","5162044 - Ysgol Ffordd Dyffryn ",123.5,139,155,162,142,171.5
"","","","5162053 - Ysgol Glanwydden ",286.5,287.5,290,281.5,290,297.5
"","","","5162055 - Ysgol Yr Wyddfid ",".",".",".",".",".","."
"","","","5162061 - Ysgol Tudno ",217,200.5,203.5,195,196,195
"","","","5162063 - Ysgol Morfa Rhiannedd ",109.5,125,136.5,149.5,154,161
"","","","5162064 - Ysgol Maelgwn ",234.5,228.5,0,".",".","."
"","","","5162086 - Ysgol Penmachno ",37.5,39,44,44.5,46.5,44
"","","","5162100 - Conwy Road Infants School ",".",".",".",".",".","."
"","","","5162101 - Ysgol Babanod Glan y Mor ",151,".",".",".",".","."
"","","","5162102 - Ysgol Gynradd Ro Wen ",".",".",".",".",".","."
"","","","5162103 - Llandrillo Yn Rhos Primary School ",425,434,442,441.5,451,450.5
"","","","5162104 - Ysgol Llanfair Talhaiarn ",47,53.5,52.5,49,52.5,53.5
"","","","5162106 - Mochdre Infants C.P. School ",65,68,76,72,67.5,55.5
"","","","5162107 - Ysgol Gynradd Tal-Y-Bont ",25.5,25.5,22,24.5,11.458333,"."
"","","","5162108 - Ysgol T. Gwynn Jones ",181,187.5,206,203.5,196.5,195
"","","","5162109 - Ysgol Trefriw ",23,13,0,".",".","."
"","","","5162110 - Ysgol Maes Owen ",224,221,218,215,234,230
"","","","5162111 - Ysgol Glan Gele ",261.5,263,260,247,261.5,266.5
"","","","5162112 - Ysgol Glan Morfa ",227,226,232,239,242,235
"","","","5162114 - Ysgol Bod Alaw ",309,300.5,285.5,282,287,285
"","","","5162115 - Ysgol Pant-Y-Rhedyn ",135,140,138,139,139,146
"","","","5162117 - Ysgol Nant Y Coed ",162.5,167,0,".",".","."
"","","","5162118 - Ysgol Y Foryd ",203,206.5,203,205,202,183
"","","","5162119 - Ysgol Dinmael ",".",".",".",".",".","."
"","","","5162121 - Ysgol Craig Y Don ",378,389,393,378.5,383.5,351.5
"","","","5162123 - Ysgol Gynradd Cerrigydrudion ",83,84,77.5,75,79,76.5
"","","","5162129 - Ysgol Gynradd Rhydgaled ",".",".",".",".",".","."
"","","","5162131 - Llanefydd School ",56,50,41,35,26,19.5
"","","","5162132 - Ysgol Bro Aled Llansannan ",59.5,53.5,49.5,54,67.5,69
"","","","5162148 - Ysgol Bro Cernyw ",99,97,93.5,95.5,84,84
"","","","5162221 - St Elfod Junior School ",262,300,300,304,296,295
"","","","5162222 - Ysgol Capel Garmon ",18,21,17,17,16,15.5
"","","","5162225 - Ysgol Glan Conwy ",94,105,113.5,116.5,111.5,120.5
"","","","5162244 - Ysgol Pendorlan ",166,".",".",".",".","."
"","","","5162253 - Ysgol Tan Y Marian ",55,".",".",".",".","."
"","","","5162262 - Llangwm C.P. School ",".",".",".",".",".","."
"","","","5162264 - Ysgol Gynradd Cynfran ",193.5,193,216.5,201.5,190.5,196
"","","","5162267 - Old Colwyn Junior C.P. School ",217,216,219,229,231,232
"","","","5162268 - Penmaenrhos Infants School ",55.5,".",".",".",".","."
"","","","5162269 - Ysgol Cystennin ",58,57,61,64,71,80
