"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 ","2020-21 "
"","","","5162121 - Ysgol Craig Y Don ",1262.260388,1263.300264,1276.726216,1286.998786,1245.101793,1229.532348
"","","","5162123 - Ysgol Gynradd Cerrigydrudion ",358.383983,345.05577,331.019235,326.531559,337.109413,342.766835
"","","","5162129 - Ysgol Gynradd Rhydgaled ",".",".",".",".",".","."
"","","","5162131 - Llanefydd School ",239.376216,217.040361,202.046661,197.682748,194.945379,205.683454
"","","","5162132 - Ysgol Bro Aled Llansannan ",277.512555,262.840877,251.042379,271.159778,289.728954,317.294767
"","","","5162148 - Ysgol Bro Cernyw ",392.692132,389.487868,385.318564,388.895474,354.935667,366.059492
"","","","5162221 - St Elfod Junior School ",1045.370775,1102.445048,1001.869015,968.392631,932.693451,969.803275
"","","","5162222 - Ysgol Capel Garmon ",173.086575,190.898647,177.392477,185.526715,179.942305,200.109445
"","","","5162225 - Ysgol Glan Conwy ",352.226678,385.864777,413.141974,436.282384,426.151709,484.145428
"","","","5162244 - Ysgol Pendorlan ",749.022157,".",".",".",".","."
"","","","5162253 - Ysgol Tan Y Marian ",419.271095,".",".",".",".","."
"","","","5162262 - Llangwm C.P. School ",".",".",".",".",".","."
"","","","5162264 - Ysgol Gynradd Cynfran ",727.734984,740.338279,812.264809,766.742721,712.711694,789.279943
"","","","5162267 - Old Colwyn Junior C.P. School ",774.756482,772.532654,787.819137,788.423943,783.909414,827.139664
"","","","5162268 - Penmaenrhos Infants School ",402.372236,".",".",".",".","."
"","","","5162269 - Ysgol Cystennin ",288.738775,280.316299,279.353878,283.645731,301.757751,356.298714
"","","","5162270 - Ysgol Gynradd Pentrefoelas ",208.34697,212.973552,219.868079,224.145485,229.038019,243.620909
"","","","5162271 - Ysgol Bro Gwydir ",1161.851392,1183.966788,1199.461912,1248.132236,1226.989188,1278.43711
"","","","5162272 - Ysgol Nant Y Groes ",".",1419.905832,1330.252317,1326.572148,1340.804756,1388.072172
"","","","5162273 - Ysgol Swn Y Don ",".",763.787099,688.719887,768.699823,768.962695,756.610855
"","","","5162274 - Ysgol Awel y Mynydd ",".",".",1493.216546,1705.445066,1727.946993,1864.701871
"","","","5162275 - Ysgol Dyffryn yr Enfys ",".",".",".",".",256.22068,479.012478
"","","","5163020 - Ysgol Babanod Llanfairfechan ",492.620931,501.931721,479.713095,478.260414,451.218035,443.190178
"","","","5163021 - Ysgol Llangelynnin ",339.307669,329.824081,351.274932,334.521416,322.044091,330.146525
"","","","5163024 - Ysgol Pencae ",818.118045,827.967746,766.608291,711.842848,668.700757,637.487534
